gene,mean_ovarian carcinoma,mean_adjacent endometriosis,log2FC,pvalue,padj
LSM1,7.654962966103448,7.2362544901999994,0.41870847590344873,0.06282908780678818,0.12885287499358256
EIF4A1,13.654333245862064,13.285786299,0.3685469468620646,0.064339577526652,0.12975148134541487
LIFR,4.179869530827586,3.4089170074000004,0.770952523427586,0.0660442380938913,0.1305271138245596
ERN1,6.465985217655173,6.9616119043,-0.4956266866448269,0.06786537305414454,0.1305271138245596
EIF4G1,11.92886248724138,11.607621833,0.3212406542413806,0.0679603981070021,0.1305271138245596
ATP6V0D1,8.03627305837931,7.8038962839,0.2323767744793095,0.08143893291363964,0.15397048253984993
CXXC1,5.4172571801379314,5.6869528833,-0.2696957031620686,0.08389553971269763,0.15617477392671406
TRIB3,6.500760552482757,5.7302086457999994,0.7705519066827575,0.0904762289665418,0.16587308643865997
CKS1B,8.945873060965516,8.4377887522,0.5080843087655165,0.09406385775324898,0.1698765192260168
PAIP1,9.495261497862067,9.151638737,0.34362276086206656,0.10538818050161204,0.18752896824551554
NPM1,13.215426480689658,13.499885139,-0.2844586583103421,0.11308583099789148,0.19830993551804157
DNAJB9,7.732765526482758,8.0971479789,-0.3643824524172423,0.12157827780348314,0.21015673734602086
YIF1A,10.02688024151724,9.6966564781,0.3302237634172407,0.12715332857991957,0.2166979261714122
DERL1,8.133526478448275,7.747661738700001,0.38586473974827395,0.1439131281074586,0.24185400695836792
EIF2S1,7.746723852724139,7.452013959499999,0.2947098932241401,0.15038365213139893,0.2492660535328667
SERP1,9.445328839724137,9.086241037,0.35908780272413665,0.15421291839623535,0.2521589611614119
SPCS3,9.005918266137932,8.645790596600001,0.3601276695379312,0.16967563286804563,0.27374335436044694
DNAJA4,8.790899504551724,8.2684186538,0.5224808507517249,0.20017010577573366,0.314687533971197
ATF3,9.36759658375862,10.2688718874,-0.9012753036413788,0.20025570343621626,0.314687533971197
SLC1A4,8.16106800824138,8.454768525599999,-0.29370051735861935,0.2123519972723482,0.32530569606389276
GOSR2,6.655617775137933,6.4473617632,0.20825601193793286,0.21296041971666071,0.32530569606389276
PARN,9.765448178827588,9.5238576696,0.2415905092275885,0.21507814615794563,0.32530569606389276
DCP2,9.288051663827586,9.4583872442,-0.1703355803724147,0.22890824054421763,0.3419493469858066
EIF4EBP1,8.697701463137932,8.376104998799999,0.321596464337933,0.23496482475360048,0.3467163877461666
RELA,8.002636957103448,8.184791433600001,-0.18215447649655303,0.2563756246120757,0.37375241660314645
TATDN2,8.435452067172411,8.668240125999999,-0.23278805882758746,0.26503510834620975,0.3817767632129926
EXOSC10,10.21239079724138,10.0407053491,0.1716854481413801,0.27264074700415597,0.3881121222059162
IL6,6.468557063965517,7.223340505600001,-0.7547834416344843,0.29281332297765966,0.4119815358174049
VCP,11.340646591034485,11.16351597,0.1771306210344843,0.2985727341086996,0.4152563313465822
SDAD1,8.452412573620691,8.3188906897,0.1335218839206913,0.3092789859524807,0.4238109174234784
ATF6,9.690548440275862,9.465030390899999,0.22551804937586262,0.311728691328013,0.4238109174234784
IMP3,4.442235059517241,4.284187125,0.1580479345172412,0.3297827009039508,0.44337452010420053
EXOSC2,9.072151016103449,8.903975554,0.16817546210344858,0.35616203147919506,0.4722499924883852
PREB,8.164606943724138,8.3139478921,-0.14934094837586187,0.3590661099911689,0.4722499924883852
DDIT3,3.475354926862069,3.6233384792,-0.14798355233793092,0.3683231140157666,0.47921609457965336
KHSRP,9.148474890413794,9.0222938125,0.1261810779137953,0.39116023578397247,0.5035147715942625
EXOSC1,9.447218921965518,9.545274828,-0.09805590603448167,0.43649539995807024,0.5559572988939631
SEC11A,8.38401465813793,8.190863763900001,0.1931508942379292,0.4470957500777484,0.5635269349938287
NFYB,9.10593977448276,9.2286442501,-0.1227044756172404,0.45506098742420925,0.5676533966838074
SEL1L,9.227161427,9.3860201419,-0.15885871489999914,0.4779038154726673,0.590064915022375
SYVN1,8.319608962448275,8.197660151400001,0.1219488110482736,0.4895723116539687,0.5983661586881839
DDIT4,9.674464138206897,9.9114047327,-0.23694059449310245,0.5533813065103155,0.6621071325959498
SLC30A5,6.865162106931034,6.7369997095,0.12816239743103353,0.5574563935663961,0.6621071325959498
GEMIN4,5.4925376837931035,5.421676918699999,0.07086076509310413,0.5581398968990651,0.6621071325959498
