gene,mean_ovarian carcinoma,mean_atypical endometriosis,log2FC,pvalue,padj
NOP56,10.443777154689656,9.710440136055556,0.7333370186340993,2.0408229151043608e-05,8.231319090920921e-05
EIF4A1,13.654333245862064,12.945720164444445,0.708613081417619,2.3273748980832645e-05,9.084269763486292e-05
RPS14,5.658784689689656,4.855427637388889,0.8033570523007674,4.17101156634754e-05,0.00015771637485251634
EIF4G1,11.92886248724138,11.367668760555555,0.5611937266858256,4.7622792704775464e-05,0.00017268301475576182
NHP2,6.787975241068965,6.233896393222222,0.5540788478467427,4.8976285913166596e-05,0.00017268301475576182
STC2,7.442242136344827,5.936216422055555,1.5060257142892723,4.994963236736912e-05,0.00017268301475576182
SLC7A5,8.60039950762069,6.8519989035,1.7484006041206896,8.158497012611209e-05,0.00026988941589977533
PREB,8.164606943724138,8.739244808555556,-0.5746378648314181,8.25281684982784e-05,0.00026988941589977533
SRPRB,7.79310593462069,7.028137538444444,0.7649683961762461,0.00011584910199394119,0.00036888793003333906
ALDH18A1,9.35234772172414,8.386787102722224,0.9655606190019164,0.00012367875882825889,0.00037874054762773355
YIF1A,10.02688024151724,9.358941476055556,0.6679387654616846,0.00012520348681908548,0.00037874054762773355
NABP1,9.30599635824138,8.046374161444444,1.2596221967969363,0.00016951560006077396,0.0004995459401444076
XBP1,11.627347924827589,10.493258283444442,1.134089641383147,0.00017339611145508364,0.0004995459401444076
DCP1A,8.54317645537931,8.966586332166667,-0.42340987678735686,0.0002484439073649293,0.0006991095997943359
ZBTB17,6.867352094517241,7.390195459722223,-0.5228433652049826,0.0003253362289269541,0.0008946746295491238
SHC1,10.927262301344827,11.447217335555555,-0.519955034210728,0.0005517377480628897,0.0014835615003468813
PDIA3,10.956568268689658,10.134470256,0.8220980126896578,0.0007430605575132147,0.0019359582637815613
CNOT6,8.592243590482758,8.122052713888888,0.47019087659387004,0.0007519837884110196,0.0019359582637815613
POP4,7.79029994575862,7.2322663343333335,0.5580336114252864,0.0008864623668488455,0.0022346238830981313
GOSR2,6.655617775137933,6.234197083833333,0.4214206913045997,0.001066407285861556,0.0026333730936581277
NFYB,9.10593977448276,9.518140300777779,-0.4122005262950186,0.0011312352753613472,0.00273758936637446
ATF4,10.421986761758621,10.800813821111111,-0.3788270593524903,0.001160779956812661,0.0027540073485163136
EXOSC5,7.695783660827585,7.218948771277777,0.47683488954980824,0.0013856348931820478,0.0032103771951630367
SLC1A4,8.16106800824138,8.761157181944444,-0.6000891737030649,0.0014061982755672806,0.0032103771951630367
